Transaction_Type,Amount,Initial_Balance_Sender,Initial_Balance_Receiver,Final_Balance_Sender,Final_Balance_Receiver,Fraud
Transfer,4996.51,9840.59,16314.5,4844.08,21311.01,0
Cash-Out,1065.0,18536.2,16758.36,17471.2,16758.36,0
Cash-Out,1285.39,1883.4,19973.44,598.01,19973.44,0
Cash-In,2536.79,5243.31,17005.73,5243.31,19542.52,0
Payment,235.51,18490.88,14945.99,18255.37,15181.5,0
Cash-Out,43304.21,12109.89,14100.95,10845.39,14100.95,1
Cash-In,1420.38,7087.27,9757.76,7087.27,11178.14,0
Payment,819.54,17603.69,17382.91,16784.15,18202.45,0
Payment,720.19,7868.26,19914.56,7148.07,20634.75,0
Cash-In,2142.01,1256.7,15254.06,1256.7,17396.07,0
Cash-Out,0.91,17643.23,3276.88,842.45,3276.88,1
Payment,0.37,3819.83,2908.3,2052.76,2908.71,1
Cash-Out,1433.48,5762.86,7919.08,4329.38,7919.08,0
Cash-Out,1009.37,3555.34,12025.1,2545.97,12025.1,0
Cash-Out,282.93,12653.14,9005.87,12370.21,9005.87,0
Debit,19682.39,4209.53,14915.17,264.12,14915.17,1
Transfer,0.17,10806.69,6418.35,7962.78,6418.54,1
Debit,900.64,5262.44,11028.42,4361.8,11028.42,0
Cash-In,2975.09,7663.75,4576.63,7663.75,7551.72,0
Transfer,46459.12,6263.31,13916.84,0.0,65021.87,1
Cash-In,178.67,3511.57,8253.65,3511.57,8432.32,0
Cash-In,2884.36,18627.26,562.97,18627.26,3447.33,0
Cash-In,0.56,9738.74,55.66,9738.74,56.28,1
Cash-In,39393.29,12447.52,18514.96,12447.52,61847.58,1
Transfer,41073.46,8413.86,10825.17,0.0,56005.98,1
Transfer,191.99,10847.26,12932.37,10655.27,13124.36,0
Cash-In,2758.49,12393.56,5507.05,12393.56,8265.54,0
Cash-Out,47256.86,12420.01,5112.73,5012.39,5112.73,1
Payment,800.07,1405.22,15823.58,605.15,16623.65,0
Cash-In,0.76,7030.92,4657.01,7030.92,4657.85,1
Cash-Out,12293.83,15151.55,18404.49,398.95,18404.49,1
Cash-Out,1665.38,9793.75,7599.97,8128.37,7599.97,0
Transfer,4137.98,6280.18,16291.01,2142.2,20428.99,0
Payment,0.43,3239.93,8803.32,3239.41,8803.79,1
Debit,46.1,13080.17,6586.1,13034.07,6586.1,0
Cash-Out,901.14,1990.4,7605.73,1089.26,7605.73,0
Payment,836.05,17061.88,347.46,16225.83,1183.51,0
Payment,38629.06,12305.66,17802.27,6365.55,60294.24,1
Cash-In,655.29,1186.78,17794.23,1186.78,18449.52,0
Transfer,2128.7,18590.65,18192.04,16461.95,20320.74,0
Cash-Out,37773.91,2220.06,18564.67,917.95,18564.67,1
Transfer,3188.4,4643.89,1494.82,1455.49,4683.22,0
Cash-In,16308.14,308.43,2991.82,308.43,20930.77,1
Payment,511.47,9625.0,3944.01,9113.53,4455.48,0
Debit,0.04,2577.1,5869.83,1446.54,5869.83,1
Cash-In,230.72,13128.35,3463.45,13128.35,3694.17,0
Debit,670.87,5545.29,5442.12,4874.42,5442.12,0
Debit,46859.84,15598.78,6001.53,0.0,6001.53,1
Cash-Out,1421.71,8149.81,19684.32,6728.1,19684.32,0
Payment,0.97,5313.4,14686.02,5312.24,14687.09,1
Cash-In,1178.85,14354.89,8158.97,14354.89,9337.82,0
Payment,5996.88,9489.24,568.16,4135.1,7164.73,1
Debit,76.11,13371.01,7618.4,13294.9,7618.4,0
Transfer,491.79,16096.86,7881.83,15605.07,8373.62,0
Debit,761.6,6443.74,18183.15,5682.14,18183.15,0
Cash-In,1817.56,16124.13,12830.95,16124.13,14648.51,0
Debit,24109.71,13766.45,12729.91,0.0,12729.91,1
Payment,8755.86,18849.12,10664.31,1904.81,20295.76,1
Debit,613.91,2495.98,4739.45,1882.07,4739.45,0
Debit,33708.35,14064.76,6104.87,168.88,6104.87,1
Cash-Out,21345.35,10350.45,15836.42,0.0,15836.42,1
Debit,716.49,16785.66,1991.97,16069.17,1991.97,0
Transfer,2055.38,3596.67,7248.92,1541.29,9304.3,0
Debit,0.22,9842.75,7533.45,8722.24,7533.45,1
Transfer,10700.31,14153.73,8921.82,1313.36,20692.16,1
Cash-In,2983.89,19397.05,543.0,19397.05,3526.89,0
Cash-In,2631.44,3608.98,7352.31,3608.98,9983.75,0
Transfer,4534.5,9863.02,17791.54,5328.52,22326.04,0
Cash-Out,14542.9,9217.74,5888.14,0.0,5888.14,1
Payment,432.18,8740.93,6962.62,8308.75,7394.8,0
Cash-In,2274.02,1739.53,1586.85,1739.53,3860.87,0
Cash-In,2955.85,1347.94,15633.15,1347.94,18589.0,0
Transfer,0.33,13769.36,6544.08,13768.96,6544.44,1
Cash-In,597.94,3029.5,9160.75,3029.5,9758.69,0
Cash-In,54.59,5585.15,3997.27,5585.15,4051.86,0
Debit,236.4,15428.28,18145.03,15191.88,18145.03,0
Transfer,36855.83,8499.13,11709.55,0.0,52250.96,1
Debit,0.67,15006.23,18440.62,15005.43,18440.62,1
Cash-Out,20775.38,985.68,12076.34,0.0,12076.34,1
Transfer,4244.56,3456.54,5574.22,0.0,9818.78,0
Debit,431.86,9798.6,14374.12,9366.74,14374.12,0
Debit,30.55,11424.76,885.24,11394.21,885.24,0
Debit,657.03,19562.31,9706.57,18905.28,9706.57,0
Transfer,15503.28,5152.12,9605.12,0.0,26658.73,1
Cash-In,44225.89,5064.13,17464.83,5064.13,66113.31,1
Debit,586.02,15640.04,6187.83,15054.02,6187.83,0
Transfer,1492.69,4056.81,15823.79,2564.12,17316.48,0
Cash-Out,41224.63,16443.49,1059.07,13613.43,1059.07,1
Debit,951.31,16480.57,12021.65,15529.26,12021.65,0
Cash-Out,45883.8,17624.53,18487.17,0.0,18487.17,1
Payment,367.39,10480.91,15633.49,10113.52,16000.88,0
Cash-Out,5995.41,3122.67,16119.33,89.18,16119.33,1
Payment,18277.88,13341.61,4035.97,3073.99,24141.64,1
Payment,0.57,1605.56,15623.44,1604.88,15624.07,1
Transfer,4410.51,11149.72,14039.26,6739.21,18449.77,0
Payment,221.76,10897.86,13275.2,10676.1,13496.96,0
Transfer,38893.09,7567.06,8139.34,0.0,50921.74,1
Cash-Out,1449.96,7329.39,2279.78,5879.43,2279.78,0
Cash-In,0.18,5970.16,6853.97,5970.16,6854.17,1
Cash-In,2905.91,16527.47,12144.28,16527.47,15050.19,0
Payment,17187.1,16391.92,7071.9,10691.2,25977.71,1
Transfer,1846.68,7401.05,5925.87,5554.37,7772.55,0
Payment,0.21,5751.08,8584.81,5750.83,8585.04,1
Transfer,8616.25,16968.28,8260.99,12833.43,17738.87,1
Cash-Out,510.15,13717.89,10487.39,13207.74,10487.39,0
Cash-Out,0.23,9046.85,6319.61,2156.3,6319.61,1
Cash-In,18318.27,14746.88,14382.01,14746.88,34532.11,1
Cash-In,29968.39,6303.36,14315.9,6303.36,47281.13,1
Cash-Out,202.33,12488.51,13188.38,12286.18,13188.38,0
Debit,193.87,15203.49,9995.99,15009.62,9995.99,0
Debit,518.89,17962.41,7310.45,17443.52,7310.45,0
Payment,11.45,15092.37,6453.47,15080.92,6464.92,0
Cash-In,2655.24,14065.86,2343.99,14065.86,4999.23,0
Payment,9578.86,14789.32,5812.04,1092.26,16348.79,1
Transfer,4842.12,1967.28,12551.6,0.0,17393.72,0
Payment,714.83,18014.77,2206.42,17299.94,2921.25,0
Cash-Out,8140.98,659.43,15342.44,0.0,15342.44,1
Transfer,0.77,7385.06,16853.54,4924.07,16854.39,1
Cash-In,2946.82,19653.66,17106.27,19653.66,20053.09,0
Transfer,0.24,6547.88,1255.11,398.9,1255.37,1
Transfer,3340.01,1067.29,13377.38,0.0,16717.39,0
Payment,649.46,577.25,2487.08,0.0,3136.54,0
Cash-Out,1462.67,10200.67,12286.96,8738.0,12286.96,0
Payment,592.6,18999.07,7216.76,18406.47,7809.36,0
Cash-In,786.35,13101.6,2874.41,13101.6,3660.76,0
Debit,508.08,15513.89,4303.75,15005.81,4303.75,0
